Date,Open,High,Low,Close,Adj Close,Volume
1/2/2015,111.389999,111.440002,107.349998,109.330002,101.963631,53204600
1/5/2015,108.290001,108.650002,105.410004,106.25,99.091148,64285500
1/6/2015,106.540001,107.43,104.629997,106.260002,99.100471,65797100
1/7/2015,107.199997,108.199997,106.699997,107.75,100.490089,40105900
1/8/2015,109.230003,112.150002,108.699997,111.889999,104.351151,59364500
1/9/2015,112.669998,113.25,110.209999,112.010002,104.463051,53699500
1/12/2015,112.599998,112.629997,108.800003,109.25,101.889015,49650800
1/13/2015,111.43,112.800003,108.910004,110.220001,102.793655,67091900
1/14/2015,109.040001,110.489998,108.5,109.800003,102.401962,48337000
1/15/2015,110,110.059998,106.660004,106.82,99.622726,60014000
1/16/2015,107.029999,107.580002,105.199997,105.989998,98.848663,78513300
1/20/2015,107.839996,108.970001,106.5,108.720001,101.39473,49899900
1/21/2015,108.949997,111.059998,108.269997,109.550003,102.168816,48575900
1/22/2015,110.260002,112.470001,109.720001,112.400002,104.82679,53796400
1/23/2015,112.300003,113.75,111.529999,112.980003,105.367699,46464800
1/26/2015,113.739998,114.360001,112.800003,113.099998,105.47963,55615000
1/27/2015,112.419998,112.480003,109.029999,109.139999,101.78643,95568700
1/28/2015,117.629997,118.120003,115.309998,115.309998,107.540718,146477100
1/29/2015,116.32,119.190002,115.559998,118.900002,110.888824,84436400
1/30/2015,118.400002,120,116.849998,117.160004,109.266068,83745500
2/2/2015,118.050003,119.169998,116.080002,118.629997,110.637016,62739100
2/3/2015,118.5,119.089996,117.610001,118.650002,110.65567,51915700
2/4/2015,118.5,120.510002,118.309998,119.559998,111.504333,70149700
2/5/2015,120.019997,120.230003,119.25,119.940002,112.300217,42246200
2/6/2015,120.019997,120.25,118.449997,118.93,111.354553,43706600
2/9/2015,118.550003,119.839996,118.43,119.720001,112.094223,38889800
2/10/2015,120.169998,122.150002,120.160004,122.019997,114.247726,62008500
2/11/2015,122.769997,124.919998,122.5,124.879997,116.925545,73561800
2/12/2015,126.059998,127.480003,125.57,126.459999,118.404915,74474500
2/13/2015,127.279999,127.279999,125.650002,127.080002,118.985435,54272200
2/17/2015,127.489998,128.880005,126.919998,127.830002,119.687645,63152400
2/18/2015,127.629997,128.779999,127.449997,128.720001,120.520966,44891700
2/19/2015,128.479996,129.029999,128.330002,128.449997,120.26815,37362400
2/20/2015,128.619995,129.5,128.050003,129.5,121.251266,48948400
