"Date","GBPClose","JYClose","ADClose","CDClose","EUClose","GBPPvt","JYPvt","ADPvt","CDPvt","EUPvt","rt","rtsq","rtsq1"
"1/4/1999",1.652,0.0089,0.6187,0.653,1.183,1.657,0.0089,0.6166,0.6526666666666667,1.184933333333333,,,
"1/5/1999",1.6542,0.0091,0.6233,0.6567,1.183,1.653933333333334,0.009066666666666666,0.6219333333333333,0.6557666666666666,1.1848,0.001330833176882651,0.0000017711169446915693,-0.00003232967494053169
"1/6/1999",1.66,0.009,0.625,0.664,1.179,1.656533333333333,0.009000000000000001,0.6233,0.6632666666666668,1.178633333333333,0.003500094092782957,0.000012250658658334152,-0.000021850133226889104
"1/7/1999",1.6452,0.0091,0.6317,0.6598,1.1678,1.648333333333333,0.009066666666666666,0.6305999999999999,0.6608,1.168033333333334,-0.008955644994319889,0.00008020357726428689,0.00004610278537906363
"1/8/1999",1.6404,0.009,0.6339,0.6611,1.169,1.641933333333334,0.009033333333333333,0.6342666666666667,0.6609333333333334,1.1711,-0.0029218428383647743,0.000008537165572103521,-0.000025563626313119734
"1/11/1999",1.641,0.0092,0.6385,0.6628,1.16,1.639866666666667,0.0092,0.6370666666666667,0.6620666666666666,1.161133333333333,0.0003656975721866851,0.00000013373471430323575,-0.00003396705717092002
"1/12/1999",1.6282,0.009,0.6366,0.6624,1.1538,1.626466666666667,0.009066666666666667,0.638,0.6629666666666667,1.1503,-0.007830701950213515,0.00006131989303307774,0.000027219101147854488
"1/13/1999",1.655,0.009,0.6331,0.6505,1.179,1.646066666666667,0.009000000000000001,0.6342,0.6539,1.172433333333333,0.016325898671285866,0.0002665349674250936,0.00023243417553987035
"1/14/1999",1.6458,0.0088,0.6345,0.6569,1.167,1.646266666666667,0.008833333333333334,0.6324,0.6564333333333333,1.168233333333333,-0.00557442063955077,0.00003107416546664961,-0.0000030266264185736436
"1/15/1999",1.6552,0.0089,0.631,0.651,1.167,1.656533333333333,0.008933333333333333,0.6304,0.6519,1.170333333333333,0.005695259259720753,0.00003243597803543498,-0.000001664813849788278
"1/18/1999",1.6542,0.0088,0.635,0.6548,1.164,1.651933333333333,0.008833333333333334,0.6357666666666667,0.6554333333333334,1.162833333333333,-0.0006043391735273129,0.00000036522583665967564,-0.00003373556604856358
"1/19/1999",1.6572,0.0088,0.633,0.6542,1.166,1.6536,0.008833333333333334,0.6337,0.6542666666666667,1.164233333333333,0.001811922945440747,0.0000032830647602146725,-0.00003081772712500859
"1/20/1999",1.6496,0.0089,0.6408,0.6555,1.1625,1.651333333333334,0.0089,0.6403,0.6547,1.162233333333334,-0.004596596940551256,0.00002112870343388517,-0.000012972088451338085
"1/21/1999",1.6462,0.0089,0.6375,0.6568,1.1603,1.644666666666667,0.008933333333333333,0.6386333333333333,0.6578333333333334,1.159966666666667,-0.0020632327241517645,0.0000042569292740107115,-0.000029843862611212544
"1/22/1999",1.648,0.0088,0.635,0.6587,1.1606,1.650533333333333,0.008833333333333334,0.638,0.6596666666666667,1.161966666666667,0.0010928299308732847,0.0000011942772578125082,-0.00003290651462741075
"1/25/1999",1.6568,0.0088,0.631,0.6578,1.1637,1.6558,0.0088,0.6312,0.6575333333333333,1.162533333333333,0.005325599611957499,0.00002836201122688186,-0.000005738780658341395
"1/26/1999",1.6596,0.0088,0.63,0.6572,1.1612,1.6586,0.008833333333333334,0.6305999999999999,0.6579666666666667,1.160066666666667,0.001688578377338379,0.000002851296936414713,-0.000031249494948808547
"1/27/1999",1.653,0.0088,0.629,0.6578,1.153,1.652933333333333,0.008833333333333334,0.6297,0.6577000000000001,1.155,-0.00398479063768864,0.000015878556426211038,-0.000018222235459012218
"1/28/1999",1.6462,0.0087,0.6245,0.6575,1.1435,1.646,0.0087,0.6257666666666667,0.6579333333333334,1.144733333333333,-0.0041222172824805225,0.000016992675323981106,-0.00001710811656124215
"1/29/1999",1.6456,0.0087,0.63,0.66,1.141,1.6462,0.008666666666666666,0.6290333333333332,0.6601,1.141966666666667,-0.00036454219979631386,0.00000013289101543233562,-0.000033967900869790924
"2/1/1999",1.6404,0.0087,0.6352,0.6625,1.135,1.642333333333333,0.0087,0.6339666666666667,0.6619,1.137233333333333,-0.0031649448208431186,0.00001001687571898168,-0.00002408391616624158
"2/2/1999",1.642,0.0089,0.6388,0.6638,1.135,1.6426,0.008833333333333332,0.6381333333333333,0.6634333333333332,1.134333333333333,0.0009748964944692462,0.000000950423174928425,-0.00003315036871029483
"2/3/1999",1.6352,0.009,0.643,0.6611,1.1356,1.635666666666667,0.008966666666666666,0.6410666666666667,0.6607000000000001,1.135933333333333,-0.00414989000298821,0.000017221587036901487,-0.00001687920484832177
"2/4/1999",1.6358,0.0089,0.6389,0.6641,1.1289,1.635333333333333,0.008866666666666667,0.6395333333333334,0.6634333333333333,1.130066666666667,0.00036686029148841337,0.00000013458647347096361,-0.00003396620541175229
"2/5/1999",1.6392,0.0089,0.653,0.6745,1.1313,1.6404,0.008933333333333333,0.6512333333333333,0.6730333333333333,1.1334,0.0020763366238162884,0.000004311173775400823,-0.000029789618109822432
"2/8/1999",1.633,0.0088,0.6532,0.672,1.1261,1.632466666666667,0.008833333333333334,0.6528999999999999,0.6722,1.126433333333333,-0.003789503954224893,0.000014360340219086102,-0.000019740451666137153
"2/9/1999",1.639,0.0088,0.646,0.669,1.1374,1.638666666666667,0.008766666666666667,0.6472333333333333,0.6698333333333334,1.1358,0.0036674857733646204,0.000013450451897831889,-0.00002065033998739137
