Date,USD_by_INR,GBP_by_INR,EUR_by_INR
20070606,40.64938748,81.08483287,54.98052576
20070607,40.57596821,80.5976477,54.70658297
20070608,40.80704284,80.34626519,54.52390732
20070611,40.646019,80.11829961,54.33316667
20070612,40.53451144,80.12212886,54.1435372
20070613,40.82212987,80.51861577,54.29073273
20070614,40.68849072,80.17346616,54.1822365
20070615,40.77691687,80.41999114,54.34080243
20070618,40.58038571,80.53169864,54.44445988
20070619,40.66612469,80.89318553,54.55542113
20070620,40.6347413,81.08968239,54.61093335
20070621,40.65532891,81.14220247,54.51652127
20070622,40.66226426,81.307661,54.70490319
20070625,40.83969266,81.72931244,55.02536054
20070626,40.91408982,81.9146837,55.12150457
20070627,40.96427939,81.90545315,55.09891719
20070628,40.75835115,81.76678537,54.94024294
20070629,40.6696174,81.59441572,54.97532192
20070702,40.54238258,81.639188,55.1401457
20070703,40.48070791,81.65945587,55.10893775
20070704,40.47658097,81.72292499,55.17219404
20070705,40.45880276,81.78871956,55.2370529
20070706,40.3777007,81.27124245,54.94850048
20070709,40.38189677,81.43516406,55.05525876
20070710,40.37071827,81.55496547,55.22185558
20070711,40.35444696,82.08955535,55.55100873
20070712,40.44916321,82.32744869,55.82309723
20070713,40.35878631,82.15014426,55.67413065
20070716,40.38267527,82.36289012,55.70304405
20070717,40.31872422,82.58169838,55.57447461
20070718,40.30330856,82.74557485,55.58549803
20070719,40.3497389,82.77330258,55.8151225
20070720,40.30669808,82.87200647,55.68699932
20070723,40.2768256,82.99883738,55.71829452
20070724,40.22323648,83.06550975,55.69247192
20070725,40.31386587,82.91499505,55.4547945
20070726,40.25403174,82.44976114,55.28787575
20070727,40.41273912,82.19949118,55.21865847
20070730,40.51873107,82.06040305,55.39592772
20070731,40.30267133,82.06765024,55.29417069
20070801,40.42133166,81.97208841,55.27895032
20070802,40.31615928,81.9287447,55.13915588
20070803,40.31462734,82.09940487,55.25811593
20070806,40.33075036,82.04128286,55.78078162
20070807,40.36779664,81.92583639,55.73504727
20070808,40.408516,82.32298541,55.79126751
20070809,40.51640159,82.26302652,55.67662175
20070810,40.63911872,82.06163198,55.52390949
20070813,40.62881089,81.93787591,55.51389294
20070814,40.64027896,81.47454007,55.28549497
20070815,40.62651146,80.9127361,54.79912674
20070816,41.23178513,81.91529064,55.32253454
20070817,41.18626053,81.68865934,55.46345218
20070820,41.13543574,81.75737625,55.48559028
20070821,41.08307498,81.58881981,55.54655102
20070822,40.82936479,81.28135682,55.14222061
20070823,41.05763803,82.48778783,55.78339006
20070824,41.10076903,82.53714179,56.01066182
20070827,41.10201743,82.94083675,56.18926486
20070828,41.05307926,82.73198335,56.14701845
20070829,41.0252968,82.68336776,55.97351193
20070830,41.10592796,82.620638,55.99712022
20070831,40.75252594,82.48814899,55.90320053
20070903,40.75722999,82.32539813,55.61185014
20070904,40.85067279,82.26634615,55.52672953
20070905,40.89255939,82.30169627,55.61640813
20070906,40.75055214,82.34643746,55.75365531
20070907,40.4618406,81.92453121,55.46799813
20070910,40.17146587,81.66529456,55.46799813
20070911,40.43316743,82.27928656,55.94671556
20070912,40.41216502,82.17658186,56.16439799
20070913,40.42157813,82.08067794,56.22603166
20070914,40.42330345,81.40234703,56.07872581
20070917,40.56781251,81.18684635,56.34823095
20070918,40.32161578,80.53160132,55.96590726
20070919,40.18212037,80.47864585,56.20665944
20070920,39.76041192,79.93027386,55.83565903
20070921,39.7865983,80.26352138,55.94809749
20070924,39.65682159,80.41229149,56.01964542
20070925,39.6181121,79.89841791,55.93720545
20070926,39.70040745,80.16640757,56.13684646
20070927,39.68082377,80.56548778,56.31965951
20070928,39.71901025,80.92664461,56.36988165
20071001,39.77147821,81.27229281,56.65532923
20071002,39.73000741,81.21880363,56.32981646
20071003,39.45728564,80.62294968,56.06162808
20071004,39.36144823,80.17614775,55.58663828
20071005,39.51172239,80.717728,55.90563647
20071008,39.64353101,80.90456094,55.90563647
20071009,39.7903896,80.83439739,55.90563647
20071010,39.20416659,80.17501512,55.50971403
20071011,39.16454335,79.88655695,55.66137529
20071012,39.2212184,79.68418128,55.63985295
20071015,39.15594179,80.02662623,55.75497005
20071016,39.44325464,80.23497401,55.8640329
20071017,39.69451512,80.93844137,56.41855438
20071018,39.6623392,81.35499549,56.76584421
20071019,39.85400601,81.76725486,56.996283
20071022,39.94746584,81.23588429,56.64213061
20071023,39.67752342,81.39238013,56.60886078
20071024,39.67996512,81.28954703,56.51702404
20071025,39.55188367,81.22589533,56.64734447
20071026,39.37579483,80.89965021,56.69073815
20071029,39.50786396,81.44868232,56.90856399
20071030,39.44735553,81.61870947,56.88457963
20071031,39.39436657,81.72365533,56.96589238
20071101,39.38674791,82.14938583,56.86025831
20071102,39.38673789,82.14799036,57.0810145
20071105,39.39220942,82.08057962,57.12443024
20071106,39.38623893,82.32548441,57.3483665
20071107,39.33666254,82.88390054,57.96521261
20071108,39.48686456,83.28269582,57.96521261
20071109,39.23020269,82.34644649,57.65519601
20071112,39.41381399,81.67359613,57.51475874
20071113,39.50601841,81.99279167,57.76002781
20071114,39.38779593,81.60780858,57.95382717
20071115,39.39621813,80.78052698,57.7256799
20071116,39.41951997,80.7364449,57.80717016
20071119,39.42273916,80.96303808,57.82372836
20071120,39.44101233,81.41698889,58.36768774
20071121,39.44314242,81.29203499,58.48533104
20071122,39.56117154,81.74847677,58.71973814
20071123,39.78339113,81.90302137,58.96993424
20071126,39.87563262,82.5561135,59.25034546
