PERMNO,date,TICKER,RET
10107,20000111,MSFT,-0.025612
10107,20000112,MSFT,-0.032571
10107,20000113,MSFT,0.018901
10107,20000114,MSFT,0.041159
10107,20000118,MSFT,0.027283
10107,20000119,MSFT,-0.072087
10107,20000120,MSFT,-0.009346
10107,20000121,MSFT,-0.021226
10107,20000124,MSFT,-0.024096
10107,20000125,MSFT,0.015432
10107,20000126,MSFT,-0.033435
10107,20000127,MSFT,-0.006289
10107,20000128,MSFT,-0.005063
10107,20000131,MSFT,-0.003817
10107,20000201,MSFT,0.051724
10107,20000202,MSFT,-0.020644
10107,20000203,MSFT,0.027898
10107,20000204,MSFT,0.028347
10107,20000207,MSFT,0.000587
10107,20000208,MSFT,0.031067
10107,20000209,MSFT,-0.054008
10107,20000210,MSFT,0.019231
10107,20000211,MSFT,-0.057193
10107,20000214,MSFT,-0.003127
10107,20000215,MSFT,-0.010665
10107,20000216,MSFT,-0.009512
10107,20000217,MSFT,0.020487
10107,20000218,MSFT,-0.045797
10107,20000222,MSFT,-0.013149
10107,20000223,MSFT,0.004664
10107,20000224,MSFT,0.005305
10107,20000225,MSFT,-0.03628
10107,20000228,MSFT,0.002738
10107,20000229,MSFT,-0.023891
10107,20000301,MSFT,0.016084
10107,20000302,MSFT,0.028217
10107,20000303,MSFT,0.029451
10107,20000306,MSFT,-0.057217
10107,20000307,MSFT,0.024828
10107,20000308,MSFT,0.028937
10107,20000309,MSFT,0.046436
10107,20000310,MSFT,0.01
10107,20000313,MSFT,-0.029703
10107,20000314,MSFT,-0.029337
10107,20000315,MSFT,0.002628
10107,20000316,MSFT,0
10107,20000317,MSFT,0.04194
10107,20000320,MSFT,-0.020126
10107,20000321,MSFT,0.055199
10107,20000322,MSFT,0.004866
10107,20000323,MSFT,0.083535
10107,20000324,MSFT,-0.001676
10107,20000327,MSFT,-0.068271
10107,20000328,MSFT,0.002402
10107,20000329,MSFT,0.027561
10107,20000330,MSFT,-0.035569
