date,AIG,AXP,BA,DD,DIS,GM,HD,HWP,IBM,JPM,MCD,MRK,MSFT,T,VZ,WMT
2000-01-12,0.0296792223357896,-0.00522194398115171,0.00436364328777327,0.00453515516539136,-0.0733125326314678,0.0460525074449847,-0.00815498912930614,0.0345154487904607,0.00628932890756392,0.0173917427118692,0.0417971286784615,0.0195004059671278,-0.0331136847844244,0.0637760353972367,,-0.018087118491143996
2000-01-13,0.0271509890659509,0.005221943981151621,-0.016093983073263,-0.00817814644389232,0.0328496690182868,0.0,0.0172505546137912,0.0033314855910034197,-0.011560822401076,0.0262969522904621,-0.0102866447102754,0.00418936515527692,0.0187249473323248,-0.0231491818669656,,0.0009601536983432869
2000-01-14,0.0182476724817161,0.0221879149753621,0.0376310682176468,-0.0163277577857147,-0.0365671454184194,0.0741079721537218,-0.00302267232658601,-0.00221975673831289,0.011560822401076,0.0413714618560368,0.00699186615848387,-0.00839635495290628,0.0403349193966848,0.0242926925690445,,-0.00964327627180423
2000-01-18,-0.0511491086761047,-0.051045841093097004,0.0224728558520586,-0.0284558448412586,0.0275499517682306,0.00907721815111668,-0.023482447053410998,0.00940012451191505,-0.0307716586667537,-0.0373084801367831,-0.026380989594325,-0.0457173185296644,0.0269173076124826,-0.0242926925690446,,0.0163386623547892
2000-01-19,-0.0198026272961798,-0.0174713262728415,0.0566953436765453,-0.0134488098126131,0.0072202479734871,-0.0182375875497809,0.0224728558520586,0.0212368449499747,0.038059561824345,-0.0178987135719038,0.0208651384639618,0.00966191091173689,-0.0748169997729402,-0.004694844304207729,,-0.0231447168237886
2000-01-20,-0.0184036063824723,0.0232279211171781,-0.0239055208535544,-0.009718249468921341,-0.032909734088798,0.0091603693986642,-0.0132182910858528,0.00107700602763797,0.0113461763873015,-0.0129838230104587,-0.0329864989963065,0.0199054603468129,-0.00938974034983903,-0.0274316544606709,,-0.0107897074213801
2000-01-21,-0.0036014444689073705,-0.00493219248931895,-0.0176275750833133,-0.0117879557520422,-0.0263668758407422,-0.00380662812156266,-0.0217287389913814,-0.0261737951139124,-0.00308166653740811,-0.0163376492949279,0.00152322954052142,-0.0068787889468043106,-0.0214549350012595,0.007228947143151291,,-0.0149034055025749
2000-01-24,-0.0231153844290898,0.00205803735945618,-0.030557933217651,-0.0079365495957363,0.0170297398448023,-0.0262766277311606,-0.0383842430083153,-0.00110558330774964,-0.0292296383149384,-0.012296332423881002,-0.0277795641070757,-0.0306638128861153,-0.0243914531241591,-0.0304715836457473,,-0.0566286125030528
2000-01-25,0.0134476354138024,0.0410851177950268,0.030557933217651,-0.0201214031994211,0.118408231050302,-0.0237729103525028,-0.0309075374630767,-0.0033241027838385603,0.00948873750870145,0.0,-0.0031347988053715,0.008857453834061021,0.0153142349730426,0.0159610509313327,,0.0353835038893167
2000-01-26,0.0245889449782622,0.008644454616341059,0.0108844611984234,-0.009188426054406259,-0.0236098656391337,0.00798726291021105,0.0287312580404811,-0.0350120459597085,-0.0201384654253595,0.0600232322719828,-0.111133294743568,0.0269698817121036,-0.0340063679851951,-0.00610875448832125,,0.0132048642951707
2000-01-27,-0.00237248035363036,0.0197565984360763,-0.0246587836632527,0.00918842605440617,0.0135595297856323,0.0534389621555603,0.0065146810211936705,-0.0023014969882792697,-0.0282320596275493,0.0180727810596946,0.0546210844802252,0.0178652135578698,-0.00630916919326472,-0.0123306124574787,,-0.0464719652781097
2000-01-28,-0.0313656592782197,-0.0291906306694349,-0.00975617494536469,-0.0372713947972317,-0.010152371464018,-0.047885596039004996,-0.0374906089154987,0.00230149698827917,-0.0172178649474992,-0.0620871335516119,-0.0235304974101942,0.0299025601738698,-0.00507615303186066,-0.0302290019613172,,-0.07005051304508701
2000-01-31,0.0230173698867484,0.0402531123583311,-0.00280505092760861,-0.00422833610952106,-0.0119761910467156,0.0195854282323847,0.0178178433167939,-0.00460830308619422,0.0061435546484054394,0.0404619508875496,0.0168638060520047,0.0314161962333789,-0.00382409643840339,0.076297754050646,,-0.006825965070399871
2000-02-01,-0.019347640997786,0.0254695415404568,-0.0169975763685711,0.0147216118253599,-0.00864309615601997,0.0565548354642199,0.0805520023114865,-0.0227747069892452,-0.0208165041245867,-0.00254517826375065,-0.0202709643736191,-0.0257042263988848,0.0504308536268919,-0.00475060275859786,,0.0694493882718714
2000-02-02,-0.000610687041879828,-0.0288896474773148,0.0198026272961797,0.0145080264895786,0.0341330063694586,-0.0465200156348928,-0.022658023892584,0.0439123120266499,0.0318908144236804,-0.0117919848826566,-0.0311983708558613,0.000813338800428281,-0.0208596520524315,-0.0289875368732523,,-0.005339040979420321
2000-02-03,-0.009822055635458809,-0.008026032000749441,-0.0269711167747923,-0.0218417419150488,0.0166393190039647,0.006125593426682579,0.00208116620382467,0.0262218650014533,0.0314389036371289,0.0128108336717595,-0.0141846349919564,-0.00816331063916098,0.0275162575700314,-0.0148150857851406,,0.0
2000-02-04,-0.00556759866910248,-0.0088649645889499,0.0128665105932503,-0.0105709229600107,0.0065789710980425605,0.00608829886725536,0.0164952193691108,0.0388817875442075,-0.012889544725996998,-0.0299764047002637,0.0035650661644961398,-0.0156963156473187,0.027953054022377005,0.0074349784875179905,,-0.0359711806205048
2000-02-07,-0.0315085926669423,0.00617524154564986,-0.0509942960298139,-0.00746670135653697,-0.00328407520118988,-0.0238015074663258,-0.0353835038893166,0.0852442798696097,-0.0130578569174567,-0.013203254913116998,-0.00535237673859195,0.00249480378878287,0.0005863383340071741,0.0122700925918144,,-0.0201800570043779
