PERMNO,date,TICKER,RET
10107,20000131,MSFT,-0.16167
10107,20000229,MSFT,-0.086845
10107,20000331,MSFT,0.188811
10107,20000428,MSFT,-0.343529
10107,20000531,MSFT,-0.103047
10107,20000630,MSFT,0.278721
10107,20000731,MSFT,-0.127344
10107,20000831,MSFT,0
10107,20000929,MSFT,-0.136079
10107,20001031,MSFT,0.141969
10107,20001130,MSFT,-0.166969
10107,20001229,MSFT,-0.244009
10107,20010131,MSFT,0.407781
10107,20010228,MSFT,-0.033777
10107,20010330,MSFT,-0.073093
10107,20010430,MSFT,0.238857
10107,20010531,MSFT,0.021107
10107,20010629,MSFT,0.055218
10107,20010731,MSFT,-0.093288
10107,20010831,MSFT,-0.138087
10107,20010928,MSFT,-0.103068
10107,20011031,MSFT,0.136408
10107,20011130,MSFT,0.104213
10107,20011231,MSFT,0.031771
10107,20020131,MSFT,-0.03834
10107,20020228,MSFT,-0.084288
10107,20020328,MSFT,0.033768
10107,20020430,MSFT,-0.133477
10107,20020531,MSFT,-0.025832
10107,20020628,MSFT,0.074445
10107,20020731,MSFT,-0.122852
10107,20020830,MSFT,0.022926
10107,20020930,MSFT,-0.108802
10107,20021031,MSFT,0.222451
10107,20021129,MSFT,0.078736
10107,20021231,MSFT,-0.103675
10107,20030131,MSFT,-0.082012
10107,20030228,MSFT,0.002107
10107,20030331,MSFT,0.021519
10107,20030430,MSFT,0.055762
10107,20030530,MSFT,-0.037167
10107,20030630,MSFT,0.041853
10107,20030731,MSFT,0.030031
10107,20030829,MSFT,0.004165
10107,20030930,MSFT,0.048265
10107,20031031,MSFT,-0.053957
10107,20031128,MSFT,-0.01645
10107,20031231,MSFT,0.064566
10107,20040130,MSFT,0.01023
10107,20040227,MSFT,-0.040506
10107,20040331,MSFT,-0.060309
10107,20040430,MSFT,0.048135
10107,20040528,MSFT,0.003827
10107,20040630,MSFT,0.08883
10107,20040730,MSFT,-0.002451
10107,20040831,MSFT,-0.038961
10107,20040930,MSFT,0.012821
10107,20041029,MSFT,0.011573
10107,20041130,MSFT,0.068645
10107,20041231,MSFT,-0.003357
10107,20050131,MSFT,-0.016467
10107,20050228,MSFT,-0.039574
10107,20050331,MSFT,-0.039348
10107,20050429,MSFT,0.046752
10107,20050531,MSFT,0.022925
10107,20050630,MSFT,-0.037209
10107,20050729,MSFT,0.030998
10107,20050831,MSFT,0.072237
10107,20050930,MSFT,-0.060263
10107,20051031,MSFT,-0.001166
10107,20051130,MSFT,0.080156
10107,20051230,MSFT,-0.055275
10107,20060131,MSFT,0.076482
10107,20060228,MSFT,-0.042273
10107,20060331,MSFT,0.012653
10107,20060428,MSFT,-0.112459
10107,20060531,MSFT,-0.058385
10107,20060630,MSFT,0.028698
10107,20060731,MSFT,0.032618
10107,20060831,MSFT,0.071904
10107,20060929,MSFT,0.064202
10107,20061031,MSFT,0.049726
10107,20061130,MSFT,0.026123
10107,20061229,MSFT,0.01703
10107,20070131,MSFT,0.03349
10107,20070228,MSFT,-0.083927
10107,20070330,MSFT,-0.01065
10107,20070430,MSFT,0.074273
10107,20070531,MSFT,0.028393
10107,20070629,MSFT,-0.039756
10107,20070731,MSFT,-0.016288
10107,20070831,MSFT,-0.005519
10107,20070928,MSFT,0.025409
10107,20071031,MSFT,0.249491
10107,20071130,MSFT,-0.084216
10107,20071231,MSFT,0.059524
10107,20080131,MSFT,-0.08427
10107,20080229,MSFT,-0.162273
10107,20080331,MSFT,0.043386
10107,20080430,MSFT,0.004933
10107,20080530,MSFT,-0.003156
10107,20080630,MSFT,-0.028602
10107,20080731,MSFT,-0.065067
10107,20080829,MSFT,0.065319
10107,20080930,MSFT,-0.021986
10107,20081031,MSFT,-0.163357
10107,20081128,MSFT,-0.08867
10107,20081231,MSFT,-0.038576
10107,20090130,MSFT,-0.12037
10107,20090227,MSFT,-0.047953
10107,20090331,MSFT,0.137461
10107,20090430,MSFT,0.102885
10107,20090529,MSFT,0.037512
10107,20090630,MSFT,0.137865
10107,20090731,MSFT,-0.010517
10107,20090831,MSFT,0.053571
10107,20090930,MSFT,0.043408
10107,20091030,MSFT,0.078149
10107,20091130,MSFT,0.065272
10107,20091231,MSFT,0.036382
10107,20100129,MSFT,-0.075459
10107,20100226,MSFT,0.022001
10107,20100331,MSFT,0.021538
10107,20100430,MSFT,0.042595
10107,20100528,MSFT,-0.150811
10107,20100630,MSFT,-0.10814
