Timestamp,OrderNumber,Event,Ticker,Quantity,Price,MPID,Exchange
14408550,281487861614546,B,BIOF,100,14100,ARCA,P
24607246,281487861734668,S,BIOF,150,32500,ARCA,P
24607246,281487861734669,S,BIOF,100,29500,ARCA,P
26638264,281487861751734,S,BIOF,1,35100,ARCA,P
27152470,281487861760592,S,BIOF,200,28000,ARCA,P
27610792,1072571,B,BIOF,100,100,SBSH,Q
27610792,1072572,S,BIOF,100,20000000,SBSH,Q
28490832,1252002,B,BIOF,2400,13900,,Q
28634060,1298084,B,BIOF,2500,13800,,Q
28800014,1501061,B,BIOF,600,16100,,K
28800014,1315848,B,BIOF,5000,13500,,K
28800014,1515677,B,BIOF,20000,9400,,K
28800014,2018150,B,BIOF,700,15000,,K
28800014,1900916,S,BIOF,435,24400,,K
28800014,1301497,S,BIOF,1000,21500,,K
28800014,1302813,S,BIOF,200,29500,,K
28800014,1202808,S,BIOF,940,17600,,K
28800014,1203501,S,BIOF,200,35000,,K
28800014,1903954,S,BIOF,5000,28200,,K
28800014,2004551,S,BIOF,330,30000,,K
28800014,1307476,S,BIOF,10000,28700,,K
28800014,1311881,S,BIOF,713,34000,,K
28800014,1512056,S,BIOF,1000,24400,,K
28800014,1314235,S,BIOF,650,33000,,K
28817655,1100592,S,BIOF,500,23500,,K
29015276,1468287,B,BIOF,900,15500,,Q
30020348,1522589,B,BIOF,2000,16000,,K
30331265,72339081899737872,B,BIOF,200,16100,ARCA,P
31138128,281487861825477,S,BIOF,6000,35200,ARCA,P
32833902,281487861872092,B,BIOF,1,8400,ARCA,P
32833904,4016754,B,BIOF,900,15600,,Q
32838116,281487861872491,S,BIOF,1,25200,ARCA,P
32968448,281487861879331,B,BIOF,2000,7900,ARCA,P
32972876,281487861879640,S,BIOF,2000,25700,ARCA,P
33109350,4016754,D,BIOF,0,0,,Q
33124706,4345733,B,BIOF,900,15600,,Q
33136027,4345733,D,BIOF,0,0,,Q
33161792,4398011,B,BIOF,900,15600,,Q
33172511,4398011,D,BIOF,0,0,,Q
33179530,281487861751734,D,BIOF,0,0,ARCA,P
33180379,281487861872491,D,BIOF,0,0,ARCA,P
33181390,281487861872092,D,BIOF,0,0,ARCA,P
33182716,4446178,B,BIOF,900,15600,,Q
33206836,4446178,D,BIOF,0,0,,Q
33235081,4514779,B,BIOF,900,15600,,Q
33246972,4514779,D,BIOF,0,0,,Q
33274646,4561326,B,BIOF,900,15600,,Q
33292621,4561326,D,BIOF,0,0,,Q
33302931,4610630,B,BIOF,900,15600,,Q
