caldt,vwretd,ewretd
20001102,0.005543,0.006895
20001103,-0.000829,-0.002782
20001106,0.003912,0.004175
20001107,-0.000005,-0.000409
20001108,-0.015943,-0.005340
20001109,-0.006277,-0.007948
20001110,-0.024835,-0.017948
20001113,-0.010696,-0.002223
20001114,0.023845,0.016329
20001115,0.004897,0.006523
20001116,-0.012723,-0.012733
20001117,-0.003299,-0.001931
20001120,-0.018171,-0.013228
20001121,0.003580,-0.000483
20001122,-0.018785,-0.014722
20001124,0.015249,0.014640
20001127,0.005073,0.002052
20001128,-0.009738,-0.009182
20001129,0.004802,0.004266
20001130,-0.020230,-0.014583
20001201,0.000223,0.011208
20001204,0.007378,0.009220
20001205,0.039547,0.025643
20001206,-0.018190,-0.015355
20001207,-0.005843,-0.007768
20001208,0.019845,0.021012
20001211,0.007631,0.006973
20001212,-0.006906,-0.002247
20001213,-0.008307,-0.011649
20001214,-0.013757,-0.013992
20001215,-0.021692,-0.012769
20001218,0.008272,0.016376
20001219,-0.013289,-0.003823
20001220,-0.031197,-0.020537
20001221,0.008037,0.006771
20001222,0.024460,0.028687
20001226,0.007011,0.010657
20001227,0.010740,0.018085
20001228,0.004037,0.012289
20001229,-0.010431,-0.010221
20010102,-0.028412,-0.028107
20010103,0.050253,0.045370
20010104,-0.010833,-0.007648
20010105,-0.026498,-0.020386
20010108,-0.001743,0.002650
20010109,0.004213,0.003216
20010110,0.009430,0.010793
20010111,0.010062,0.003979
20010112,-0.006356,-0.002879
20010116,0.006342,0.008015
20010117,0.002227,0.003712
20010118,0.014177,0.004208
20010119,-0.004079,-0.010842
20010122,0.000250,0.009130
20010123,0.013165,0.015221
20010124,0.002860,0.001641
20010125,-0.005010,0.002015
20010126,-0.001778,-0.002574
20010129,0.006744,0.011783
20010130,0.007073,0.008073
20010131,-0.005564,-0.002071
20010201,0.005642,0.003829
20010202,-0.017615,-0.011645
20010205,0.003431,0.003146
20010206,-0.001315,0.000528
20010207,-0.008353,-0.001669
20010208,-0.006219,-0.003720
20010209,-0.013828,-0.008291
20010212,0.012165,0.009044
20010213,-0.008523,-0.002075
20010214,-0.001916,0.000228
20010215,0.008371,0.009689
20010216,-0.018951,-0.014006
20010220,-0.017323,-0.013838
20010221,-0.018476,-0.015001
20010222,-0.001937,-0.003263
20010223,-0.005542,-0.003972
20010226,0.017569,0.019133
20010227,-0.007495,-0.007700
20010228,-0.013911,-0.011031
20010301,0.000951,0.001630
20010302,-0.005883,0.004007
20010305,0.006095,0.007167
20010306,0.010182,0.009803
20010307,0.006600,0.009267
20010308,0.002199,0.003732
20010309,-0.025003,-0.020366
20010312,-0.043268,-0.034662
20010313,0.015499,0.006269
20010314,-0.025973,-0.023291
20010315,0.005745,0.001670
20010316,-0.019582,-0.020875
20010319,0.017672,0.020316
20010320,-0.024238,-0.017255
20010321,-0.017768,-0.017457
20010322,-0.003703,-0.006548
20010323,0.019938,0.018298
20010326,0.011115,0.013148
20010327,0.025533,0.014384
20010328,-0.024253,-0.020908
20010329,-0.004598,-0.003041
20010330,0.010716,0.009753
20010402,-0.012555,-0.013305
20010403,-0.034336,-0.033675
20010404,-0.002878,0.000748
20010405,0.043951,0.042075
20010406,-0.020128,-0.025141
20010409,0.007956,0.012383
20010410,0.027350,0.031360
20010411,-0.002083,-0.003761
20010412,0.015123,0.013963
20010416,-0.003365,-0.003616
20010417,0.010405,0.010639
20010418,0.039432,0.038995
20010419,0.012924,0.009365
20010420,-0.008767,-0.008989
20010423,-0.015204,-0.013237
20010424,-0.012222,-0.005819
20010425,0.016052,0.012962
20010426,0.004909,0.005728
20010427,0.015074,0.016689
20010430,-0.002889,0.002731
20010501,0.013674,0.008766
20010502,0.000974,0.001727
20010503,-0.014659,-0.015258
20010504,0.014483,0.012398
20010507,-0.002510,-0.003290
20010508,-0.001640,0.000481
20010509,-0.004564,-0.001722
20010510,-0.000068,0.002746
20010511,-0.007463,-0.004855
20010514,0.002739,0.001281
20010515,0.000308,0.002841
20010516,0.028746,0.029120
20010517,0.002770,0.007396
20010518,0.002578,0.001940
20010521,0.016309,0.018030
20010522,-0.002536,-0.000843
20010523,-0.015454,-0.016617
20010524,0.003259,0.000975
20010525,-0.011883,-0.007776
20010529,-0.007820,-0.008827
20010530,-0.015459,-0.016831
20010531,0.006313,0.008980
20010601,0.003934,0.004529
20010604,0.005027,0.002681
20010605,0.013079,0.015304
20010606,-0.010252,-0.009375
20010607,0.005417,0.005658
20010608,-0.009407,-0.007457
20010611,-0.008436,-0.011158
20010612,0.001053,0.000049
20010613,-0.011138,-0.008671
20010614,-0.017572,-0.021277
20010615,-0.004609,-0.001319
20010618,-0.004702,-0.006034
20010619,0.003503,0.002024
20010620,0.008790,0.005067
20010621,0.011574,0.006580
20010622,-0.009658,-0.008782
20010625,-0.005569,-0.003856
20010626,-0.001515,0.002873
20010627,-0.004430,-0.000320
20010628,0.012844,0.011559
20010629,-0.001877,0.006276
20010702,0.010254,0.005322
20010703,-0.001438,-0.001709
20010705,-0.012377,-0.007875
20010706,-0.023325,-0.022030
20010709,0.006844,0.004652
20010710,-0.014175,-0.013597
20010711,-0.001063,0.000891
20010712,0.023836,0.023567
20010713,0.006272,0.004935
20010716,-0.010901,-0.012950
20010717,0.010104,0.007914
20010718,-0.005215,-0.004384
20010719,0.005872,0.006928
20010720,-0.003575,-0.005061
20010723,-0.016418,-0.013221
20010724,-0.016268,-0.018066
20010725,0.015908,0.014995
20010726,0.010367,0.013684
20010727,0.002470,0.002847
20010730,-0.001049,-0.000252
20010731,0.005558,0.005768
20010801,0.003953,0.005167
20010802,0.004192,0.004278
20010803,-0.004965,-0.004099
20010806,-0.011428,-0.010827
20010807,0.003410,0.000411
20010808,-0.017220,-0.017418
20010809,0.000096,0.000089
20010810,0.005649,0.004541
20010813,0.001013,0.004325
20010814,-0.003848,-0.000570
20010815,-0.007184,-0.006678
20010816,0.003005,0.003149
20010817,-0.016531,-0.013155
20010820,0.008182,0.005076
20010821,-0.012217,-0.009845
20010822,0.007012,0.007871
20010823,-0.002917,-0.002781
20010824,0.019624,0.018135
20010827,-0.004760,-0.002446
20010828,-0.015042,-0.012163
20010829,-0.011193,-0.008487
20010830,-0.017005,-0.014227
20010831,0.004177,0.005535
20010904,-0.000588,-0.002183
20010905,-0.000844,-0.006091
20010906,-0.022376,-0.019383
20010907,-0.018557,-0.019208
20010910,0.006275,-0.001243
20010917,-0.048821,-0.061869
20010918,-0.005660,-0.011519
20010919,-0.015821,-0.019220
20010920,-0.030654,-0.032161
20010921,-0.019326,-0.018875
20010924,0.039091,0.039626
20010925,0.008683,0.003033
20010926,-0.004796,-0.016903
20010927,0.011182,0.005999
20010928,0.021780,0.027845
20011001,-0.002038,-0.010252
20011002,0.012116,0.014521
20011003,0.020318,0.032454
20011004,-0.002691,0.001673
20011005,0.001939,0.001391
20011008,-0.008236,-0.010547
20011009,-0.005362,-0.007092
20011010,0.022803,0.027937
20011011,0.015120,0.026117
20011012,-0.005002,-0.005999
20011015,-0.001162,-0.004056
20011016,0.007020,0.010885
20011017,-0.018860,-0.024239
20011018,-0.007236,-0.010235
20011019,0.004647,0.005075
20011022,0.015318,0.014083
20011023,-0.004878,-0.002620
20011024,0.000412,0.001472
20011025,0.013862,0.018042
20011026,0.003954,0.004345
20011029,-0.023767,-0.023894
20011030,-0.017169,-0.020879
20011031,0.000039,0.003189
20011101,0.023063,0.020016
20011102,0.003038,0.004572
20011105,0.014452,0.019577
20011106,0.014678,0.013494
20011107,-0.002382,0.001110
20011108,0.002337,-0.002556
20011109,0.001478,0.002004
20011112,-0.001631,-0.000488
20011113,0.018697,0.020565
20011114,0.002472,0.005921
20011115,0.001130,0.000016
20011116,-0.003266,0.002021
20011119,0.010845,0.012196
20011120,-0.007236,-0.008328
20011121,-0.004853,-0.005585
20011123,0.011676,0.014057
20011126,0.006320,0.007471
20011127,-0.006856,-0.003924
20011128,-0.018023,-0.018541
20011129,0.010503,0.009165
20011130,-0.000663,0.001620
20011203,-0.008463,-0.008174
